estado;punto;tipo_cod;tipo;letra;numero;agenda;fecha;vencimiento;importe;cancelado;moneda_cod;importe_moneda;cancelado_moneda
0x60;01900;05;RC;;00001398;00000056;2026-09-10;2026-09-10;100.0;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212193;00000056;2026-09-10;2026-09-10;11633.79;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212194;00000056;2026-09-10;2026-09-10;5000.0;5000.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212195;00000056;2026-09-10;2026-09-10;8963.05;8963.05;0;0.0;0.0
0x60;00003;04;NC;B;00000056;00000017;2026-09-10;2026-09-10;188832.6;188832.6;1;123.42;123.42
0x9d;00003;02;FA;A;00001369;00000026;2026-09-10;2026-09-10;2945415.24;0.0;1;1925.11;0.0
0x60;00003;04;NC;A;00000170;00000026;2026-09-10;2026-09-10;2945415.24;0.0;1;1925.11;0.0
0x9d;00003;03;ND;A;00000008;00000026;2026-09-10;2026-09-10;2525414.94;2525414.94;1;1650.6;1650.6
0x60;00003;04;NC;A;00000171;00000025;2026-09-10;2026-09-10;141448.5;0.0;1;92.45;0.0
0x9d;01900;02;FA;B;19212196;00000202;2026-09-10;2026-09-10;18278.32;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212197;00000337;2026-09-14;2026-09-14;637.52;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212198;00000142;2026-09-15;2026-09-15;117.5;117.5;0;0.0;0.0
0x9d;01900;02;FA;B;19212199;00000264;2026-09-15;2026-09-15;125.13;125.13;0;0.0;0.0
0x9d;01900;02;FA;B;19212200;00000090;2026-09-15;2026-09-15;660.08;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212201;00000296;2026-09-15;2026-09-15;117.38;117.38;0;0.0;0.0
0x9d;01900;02;FA;B;19212202;00000316;2026-09-15;2026-09-15;57.35;57.35;0;0.0;0.0
0x9d;01900;02;FA;B;19212203;00000312;2026-09-15;2026-09-15;732.52;0.0;0;0.0;0.0
0x9d;01900;02;FA;A;00000273;00000334;2026-09-10;2026-09-10;218.07;218.07;0;0.0;0.0
